,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.5364695674669807,4.931672568368718e-07,0.5334986054541241,5.857938190622701e-07
1,human_alignment_binary,vificlip_score,0.4383704835315269,6.67538902986821e-05,0.4403384062868977,6.135404343535812e-05
2,human_aesthetics_binary,vificlip_score,0.4262056872987023,0.00011117422171357143,0.4118400461423579,0.0001981542447485432
3,human_consistency_binary,vificlip_score,0.510688055549765,2.082430530811236e-06,0.47374103236491394,1.3504521431820292e-05
4,human_rating_multi,vificlip_score,0.5037377759026125,3.0103020864278016e-06,0.4880547062865998,6.715583328844125e-06
5,human_alignment_multi,vificlip_score,0.5526240115109312,1.8781356512516926e-07,0.5013470808202172,3.4107548407344827e-06
6,human_aesthetics_multi,vificlip_score,0.41657519010776806,0.0001642524566686294,0.37859782494199556,0.0006858739078851674
7,human_consistency_multi,vificlip_score,0.3880957424593217,0.00048740206743518646,0.3540374687594545,0.0015840186903324004
