,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.4552364337377288,3.1849153370091034e-05,0.44181536257840465,5.7570661804569716e-05
1,human_alignment_binary,vificlip_score,0.34912632964293155,0.001858170787774606,0.34735859481140846,0.0019668520958779226
2,human_aesthetics_binary,vificlip_score,0.48182268586386806,9.138061017709509e-06,0.4623748035813651,2.3009198040357347e-05
3,human_consistency_binary,vificlip_score,0.38492859175109456,0.0005468315959863707,0.3625034056307839,0.0011958039295508537
4,human_rating_multi,vificlip_score,0.4259859834065243,0.0001121833054261203,0.4091727416705401,0.00021997771306997137
5,human_alignment_multi,vificlip_score,0.4745637620135016,1.298394307681461e-05,0.43329578011618647,8.277756598222559e-05
6,human_aesthetics_multi,vificlip_score,0.3685033094723846,0.0009752220706889507,0.32571848764252154,0.003843922324879962
7,human_consistency_multi,vificlip_score,0.35445191334167664,0.0015626430528257863,0.25548661505815984,0.024924225478253896
