,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.5633477819296157,9.61516140103711e-08,0.5643764182020641,9.005815330044454e-08
1,human_alignment_binary,vificlip_score,0.4498242520097183,4.055775103483222e-05,0.46229990868977705,2.3088689767346833e-05
2,human_aesthetics_binary,vificlip_score,0.4197354672827522,0.00014469333839900935,0.4038323653020958,0.0002704556083480184
3,human_consistency_binary,vificlip_score,0.512599766461242,1.8790093025424954e-06,0.4770256531476027,1.1536022153865765e-05
4,human_rating_multi,vificlip_score,0.5108275207128994,2.066916505254608e-06,0.4990711225283272,3.83803185280056e-06
5,human_alignment_multi,vificlip_score,0.5749025108557665,4.549125105286006e-08,0.5220247777899361,1.121573326825085e-06
6,human_aesthetics_multi,vificlip_score,0.42600013728085845,0.00011211804353037378,0.38414934220794744,0.0005624332261937328
7,human_consistency_multi,vificlip_score,0.3957036628106715,0.00036796287341286194,0.360195642588827,0.0012920300006325758
