,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.34069460387896944,0.0024298289268636555,0.3585254353123704,0.0013659817341012967
1,human_alignment_binary,vificlip_score,0.34369723642553585,0.0022103240301500644,0.34812212636402035,0.0019192272285007978
2,human_aesthetics_binary,vificlip_score,0.26968958307667046,0.017695012399807558,0.28072414199095186,0.013398433535931134
3,human_consistency_binary,vificlip_score,0.3638604563157928,0.00114229548496637,0.364222200371648,0.0011284028099844017
4,human_rating_multi,vificlip_score,0.3544759874576791,0.0015614094264411672,0.3851628788453604,0.0005422186811017902
5,human_alignment_multi,vificlip_score,0.39309515982210375,0.00040550120580843703,0.38879975302856207,0.00047502081010092036
6,human_aesthetics_multi,vificlip_score,0.20556638035687538,0.07288646322233075,0.1948003634326803,0.08956198531925151
7,human_consistency_multi,vificlip_score,0.269781945397335,0.01765464074930213,0.26003966629067343,0.022373845440229967
