id,turn,score
360871,1,21.453
360871,2,30.031
147745,1,17.531
289514,1,24.516
289514,2,22.125
289514,3,24.984
571790,1,22.75
544519,1,24.562
81971,1,27.516
565269,1,26.969
565269,2,21.766
565269,3,25.953
393243,1,24.328
573453,1,17.781
178572,1,19.922
3131,1,25.141
3131,2,20.844
3131,3,26.141
256884,1,26.172
256884,2,24.656
329847,1,22.047
329847,2,24.188
329847,3,17.562
393226,1,23.5
393226,2,27.625
393226,3,25.469
450129,1,24.141
450129,2,26.688
450129,3,20.5
463066,1,24.719
43425,1,23.281
43425,2,21.844
43425,3,23.734
142985,1,19.562
423391,1,25.594
393372,1,24.016
82679,1,27.031
353915,1,28.469
178928,1,23.234
178928,2,24.188
140043,1,21.531
10546,1,23.953
209923,1,26.203
209923,2,22.781
209923,3,24.328
282572,1,24.922
282572,2,24.156
282572,3,19.453
422328,1,24.25
422328,2,27.406
422328,3,17.75
104304,1,22.531
104304,2,23.156
104304,3,22.312
371643,1,20.641
371643,2,21.875
371643,3,23.875
354126,1,27.922
354126,2,26.734
354126,3,18.344
423935,1,29.156
423935,2,27.781
122927,1,25.25
122927,2,22.891
122927,3,24.5
532493,1,17.781
532493,2,19.219
532493,3,22.984
24629,1,24.25
235802,1,24.766
235802,2,23.766
458804,1,26.922
102171,1,27.125
181699,1,22.031
181699,2,31.531
181699,3,19.594
188612,1,28.172
466845,1,22.719
337180,1,33.344
337180,2,22.875
337180,3,22.562
58268,1,23.234
58268,2,23.531
58268,3,24.016
2585,1,19.703
2585,2,26.344
2585,3,22.719
490317,1,27.172
125106,1,22.906
125106,2,18.719
125106,3,24.156
382564,1,21.422
382564,2,22.391
100558,1,22.984
57350,1,27.312
57350,2,25.391
572804,1,29.625
572804,2,28.859
572804,3,25.703
480489,1,26.125
480489,2,20.609
86582,1,26.578
86582,2,26.5
86582,3,20.422
178403,1,21.797
178403,2,21.375
178403,3,22.141
11091,1,19.641
106772,1,26.516
106772,2,21.781
362944,1,25.312
362944,2,28.953
492077,1,23.75
332877,1,21.188
550349,1,20.75
550349,2,27.062
532810,1,30.359
272405,1,25.375
272405,2,23.156
272405,3,25.906
392837,1,24.984
392837,2,20.609
392837,3,24.906
531495,1,25.172
531495,2,22.125
205344,1,22.094
205344,2,19.656
70952,1,24.578
70952,2,19.453
70952,3,23.344
259097,1,20.0
259097,2,24.578
259097,3,22.625
172537,1,23.703
172537,2,22.312
172537,3,23.797
142585,1,20.109
273560,1,21.297
273560,2,26.688
273560,3,22.344
308192,1,24.766
308192,2,23.406
102625,1,18.859
102625,2,25.266
102625,3,24.562
25989,1,27.562
25989,2,24.828
25989,3,18.406
291861,1,26.688
311326,1,27.5
336015,1,22.109
336015,2,18.344
336015,3,25.984
153639,1,28.453
153639,2,25.188
153639,3,25.141
184384,1,26.516
509416,1,18.5
292451,1,23.781
292451,2,27.984
292451,3,16.734
219590,1,22.391
219590,2,25.609
67269,1,24.969
67269,2,24.094
333551,1,21.891
333551,2,21.125
333551,3,21.875
501972,1,26.016
501972,2,25.406
501972,3,20.422
221222,1,29.812
365258,1,22.25
365258,2,23.234
465545,1,27.906
581668,1,22.312
109776,1,22.281
109776,2,26.359
357903,1,22.719
357903,2,24.5
108871,1,25.172
108871,2,22.156
194956,1,25.359
194956,2,20.938
194956,3,19.281
520480,1,27.781
574250,1,25.609
450597,1,22.656
450597,2,22.812
450597,3,20.328
267300,1,27.531
267300,2,23.516
270650,1,25.625
215135,1,24.578
215135,2,26.469
215135,3,27.297
417814,1,23.766
452122,1,21.891
544114,1,25.438
544114,2,20.75
544114,3,27.547
98385,1,24.703
98385,2,26.297
98385,3,22.859
540816,1,25.609
356888,1,26.516
356888,2,23.391
