id,turn,score
360871,1,21.875
360871,2,30.938
147745,1,17.453
289514,1,24.125
289514,2,22.469
289514,3,25.109
571790,1,22.094
544519,1,25.594
81971,1,28.078
565269,1,27.25
565269,2,21.812
565269,3,25.484
393243,1,24.391
573453,1,17.438
178572,1,20.062
3131,1,26.484
3131,2,21.188
3131,3,26.484
256884,1,26.031
256884,2,24.141
329847,1,21.719
329847,2,24.453
329847,3,17.141
393226,1,22.859
393226,2,27.141
393226,3,25.0
450129,1,23.375
450129,2,26.109
450129,3,20.828
463066,1,24.484
43425,1,23.875
43425,2,21.75
43425,3,24.078
142985,1,20.562
423391,1,27.438
393372,1,23.469
82679,1,26.375
353915,1,27.828
178928,1,22.922
178928,2,24.422
140043,1,22.266
10546,1,24.406
209923,1,25.391
209923,2,22.312
209923,3,23.578
282572,1,24.922
282572,2,24.234
282572,3,19.812
422328,1,25.016
422328,2,27.344
422328,3,17.516
104304,1,23.031
104304,2,23.359
104304,3,21.891
371643,1,19.547
371643,2,20.594
371643,3,23.344
354126,1,28.172
354126,2,28.672
354126,3,20.891
423935,1,30.453
423935,2,29.297
122927,1,25.422
122927,2,22.219
122927,3,23.906
532493,1,17.453
532493,2,19.156
532493,3,23.344
24629,1,24.578
235802,1,24.547
235802,2,22.406
458804,1,26.625
102171,1,27.922
181699,1,22.391
181699,2,30.359
181699,3,19.875
188612,1,28.891
466845,1,21.531
337180,1,34.219
337180,2,23.75
337180,3,22.281
58268,1,23.375
58268,2,24.422
58268,3,25.484
2585,1,19.625
2585,2,27.078
2585,3,20.688
490317,1,26.656
125106,1,22.031
125106,2,18.469
125106,3,23.922
382564,1,22.156
382564,2,23.016
100558,1,23.219
57350,1,27.859
57350,2,25.469
572804,1,31.578
572804,2,30.109
572804,3,24.75
480489,1,26.922
480489,2,21.141
86582,1,27.453
86582,2,27.266
86582,3,20.531
178403,1,21.547
178403,2,21.734
178403,3,22.141
11091,1,20.375
106772,1,25.172
106772,2,21.734
362944,1,25.375
362944,2,28.547
492077,1,23.328
332877,1,20.453
550349,1,20.781
550349,2,26.641
532810,1,30.281
272405,1,25.031
272405,2,23.469
272405,3,25.828
392837,1,25.578
392837,2,20.375
392837,3,25.297
531495,1,24.75
531495,2,22.797
205344,1,21.938
205344,2,19.844
70952,1,25.703
70952,2,20.156
70952,3,23.078
259097,1,18.875
259097,2,25.438
259097,3,22.672
172537,1,24.297
172537,2,21.578
172537,3,23.0
142585,1,20.625
273560,1,20.438
273560,2,26.656
273560,3,21.656
308192,1,23.453
308192,2,23.766
102625,1,19.125
102625,2,23.938
102625,3,23.625
25989,1,28.141
25989,2,24.375
25989,3,17.672
291861,1,26.734
311326,1,26.406
336015,1,21.203
336015,2,18.422
336015,3,25.062
153639,1,29.891
153639,2,24.766
153639,3,25.141
184384,1,25.344
509416,1,19.594
292451,1,23.141
292451,2,28.719
292451,3,17.344
219590,1,22.656
219590,2,26.031
67269,1,24.766
67269,2,25.641
333551,1,21.938
333551,2,22.562
333551,3,21.422
501972,1,25.328
501972,2,24.594
501972,3,19.391
221222,1,30.406
365258,1,22.797
365258,2,23.062
465545,1,27.188
581668,1,23.344
109776,1,22.297
109776,2,26.75
357903,1,23.219
357903,2,23.672
108871,1,25.125
108871,2,23.516
194956,1,25.016
194956,2,21.562
194956,3,20.25
520480,1,27.906
574250,1,24.516
450597,1,22.672
450597,2,23.047
450597,3,21.953
267300,1,27.453
267300,2,23.156
270650,1,26.609
215135,1,23.422
215135,2,25.734
215135,3,27.219
417814,1,23.625
452122,1,20.469
544114,1,25.562
544114,2,19.75
544114,3,28.203
98385,1,24.125
98385,2,25.938
98385,3,22.781
540816,1,25.203
356888,1,27.109
356888,2,22.172
356888,3,30.719
266961,1,22.359
266961,2,19.062
266961,3,27.922
853,1,24.188
853,2,19.828
853,3,22.812
145741,1,21.016
459272,1,22.688
459272,2,23.234
459272,3,22.875
510027,1,22.094
510027,2,26.688
510027,3,25.156
121612,1,20.047
206622,1,25.203
206622,2,27.672
