id,turn,score
360871,1,21.891
360871,2,30.469
147745,1,18.016
289514,1,25.578
289514,2,22.25
289514,3,25.281
571790,1,21.984
544519,1,25.031
81971,1,28.922
565269,1,27.188
565269,2,22.109
565269,3,26.297
393243,1,23.156
573453,1,17.953
178572,1,20.469
3131,1,25.828
3131,2,19.094
3131,3,26.75
256884,1,25.766
256884,2,24.453
329847,1,22.797
329847,2,24.781
329847,3,17.516
393226,1,23.031
393226,2,27.031
393226,3,26.062
450129,1,23.0
450129,2,25.703
450129,3,20.453
463066,1,24.859
43425,1,23.484
43425,2,22.141
43425,3,24.031
142985,1,19.734
423391,1,28.391
393372,1,23.047
82679,1,26.609
353915,1,28.109
178928,1,22.656
178928,2,23.891
140043,1,21.094
10546,1,23.688
209923,1,25.156
209923,2,21.828
209923,3,24.391
282572,1,24.828
282572,2,23.969
282572,3,20.375
422328,1,25.328
422328,2,27.578
422328,3,18.844
104304,1,23.219
104304,2,24.609
104304,3,23.031
371643,1,17.609
371643,2,18.344
371643,3,20.844
354126,1,27.031
354126,2,27.562
354126,3,19.094
423935,1,29.812
423935,2,28.719
122927,1,24.766
122927,2,21.438
122927,3,24.422
532493,1,18.406
532493,2,18.469
532493,3,22.438
24629,1,25.109
235802,1,25.328
235802,2,22.281
458804,1,27.109
102171,1,27.156
181699,1,22.328
181699,2,31.172
181699,3,19.844
188612,1,27.219
466845,1,22.016
337180,1,32.656
337180,2,22.266
337180,3,23.078
58268,1,23.422
58268,2,23.578
58268,3,23.781
2585,1,19.969
2585,2,27.094
2585,3,21.672
490317,1,26.672
125106,1,22.453
125106,2,17.109
125106,3,22.812
382564,1,21.984
382564,2,23.0
100558,1,23.969
57350,1,27.766
57350,2,25.672
572804,1,31.328
572804,2,30.094
572804,3,24.016
480489,1,26.156
480489,2,19.906
86582,1,26.062
86582,2,26.188
86582,3,19.547
178403,1,22.297
178403,2,20.859
178403,3,21.297
11091,1,19.766
106772,1,24.828
106772,2,20.562
362944,1,25.547
362944,2,28.891
492077,1,24.688
332877,1,21.141
550349,1,21.203
550349,2,26.844
532810,1,29.391
272405,1,24.703
272405,2,22.375
272405,3,25.234
392837,1,24.734
392837,2,20.297
392837,3,25.609
531495,1,24.719
531495,2,23.016
205344,1,22.297
205344,2,19.625
70952,1,25.516
70952,2,19.938
70952,3,23.891
259097,1,18.906
259097,2,25.141
259097,3,22.656
172537,1,24.312
172537,2,22.078
172537,3,23.031
142585,1,21.781
273560,1,20.594
273560,2,25.906
273560,3,21.641
308192,1,24.672
308192,2,22.484
102625,1,18.656
102625,2,24.312
102625,3,23.078
25989,1,27.859
25989,2,24.812
25989,3,18.312
291861,1,27.391
311326,1,26.594
336015,1,22.109
336015,2,18.266
336015,3,25.281
153639,1,30.188
153639,2,24.156
153639,3,23.688
184384,1,26.906
509416,1,18.938
292451,1,22.25
292451,2,27.141
292451,3,17.297
219590,1,21.922
219590,2,25.375
67269,1,26.0
67269,2,24.406
333551,1,22.734
333551,2,22.906
333551,3,21.625
501972,1,25.578
501972,2,24.828
501972,3,19.484
221222,1,30.406
365258,1,21.422
365258,2,23.234
465545,1,28.016
581668,1,20.781
109776,1,21.328
109776,2,25.703
357903,1,23.547
357903,2,24.844
108871,1,25.156
108871,2,22.438
194956,1,25.125
194956,2,20.281
194956,3,19.109
520480,1,29.562
574250,1,25.422
450597,1,22.797
450597,2,23.172
450597,3,22.031
267300,1,27.141
267300,2,23.703
270650,1,25.781
215135,1,23.625
215135,2,26.719
215135,3,28.156
417814,1,23.406
452122,1,20.844
544114,1,25.5
544114,2,21.172
544114,3,28.125
98385,1,23.484
98385,2,26.25
98385,3,24.078
540816,1,25.406
356888,1,26.641
356888,2,23.328
356888,3,29.297
266961,1,22.547
266961,2,19.875
266961,3,27.797
853,1,23.156
853,2,21.391
853,3,22.344
145741,1,20.5
459272,1,22.734
459272,2,22.25
459272,3,22.859
510027,1,22.031
510027,2,26.219
510027,3,23.266
121612,1,19.359
206622,1,24.781
206622,2,28.672
206622,3,24.656
177572,1,26.469
177572,2,26.219
317806,1,21.266
317806,2,20.328
392687,1,24.891
392687,2,21.219
392687,3,20.375
313345,1,27.969
313345,2,26.766
