id,turn,score
360871,1,21.734
360871,2,26.656
147745,1,19.203
289514,1,24.062
289514,2,22.094
289514,3,24.734
571790,1,21.594
544519,1,26.141
81971,1,27.984
565269,1,25.625
565269,2,21.047
565269,3,23.781
393243,1,25.672
573453,1,20.281
178572,1,21.891
3131,1,22.922
3131,2,22.062
3131,3,26.047
256884,1,24.906
256884,2,22.375
329847,1,20.312
329847,2,22.406
329847,3,19.609
393226,1,23.656
393226,2,24.141
393226,3,25.469
450129,1,23.172
450129,2,24.844
450129,3,21.453
463066,1,24.969
43425,1,23.812
43425,2,22.609
43425,3,21.891
142985,1,21.312
423391,1,26.859
393372,1,24.891
82679,1,24.219
353915,1,27.797
178928,1,23.453
178928,2,23.891
140043,1,22.203
10546,1,23.781
209923,1,24.625
209923,2,22.719
209923,3,24.969
282572,1,24.156
282572,2,22.469
282572,3,21.078
422328,1,23.891
422328,2,26.391
422328,3,20.016
104304,1,23.0
104304,2,23.828
104304,3,23.828
371643,1,21.094
371643,2,21.109
371643,3,22.359
354126,1,25.219
354126,2,27.453
354126,3,21.625
423935,1,27.984
423935,2,26.75
122927,1,24.141
122927,2,22.594
122927,3,24.312
532493,1,18.844
532493,2,20.656
532493,3,22.578
24629,1,26.312
235802,1,22.281
235802,2,24.344
458804,1,23.781
102171,1,26.172
181699,1,23.266
181699,2,28.547
181699,3,20.891
188612,1,25.516
466845,1,22.562
337180,1,28.656
337180,2,24.562
337180,3,23.328
58268,1,22.547
58268,2,23.766
58268,3,24.125
2585,1,22.453
2585,2,25.984
2585,3,22.297
490317,1,25.516
125106,1,24.062
125106,2,20.609
125106,3,20.328
382564,1,21.594
382564,2,23.266
100558,1,24.172
57350,1,25.328
57350,2,25.203
572804,1,29.344
572804,2,27.719
572804,3,25.375
480489,1,24.703
480489,2,24.188
86582,1,25.656
86582,2,26.641
86582,3,21.172
178403,1,23.109
178403,2,22.875
178403,3,22.016
11091,1,21.859
106772,1,26.391
106772,2,22.375
362944,1,24.016
362944,2,23.891
492077,1,26.047
332877,1,22.406
550349,1,20.0
550349,2,24.438
532810,1,28.578
272405,1,25.656
272405,2,25.641
272405,3,23.906
392837,1,23.406
392837,2,20.703
392837,3,23.438
531495,1,25.172
531495,2,22.453
205344,1,22.141
205344,2,20.562
70952,1,24.484
70952,2,21.453
70952,3,25.469
259097,1,20.266
259097,2,23.219
259097,3,23.109
172537,1,22.297
172537,2,22.438
172537,3,24.688
142585,1,20.688
273560,1,22.344
273560,2,27.203
273560,3,23.141
308192,1,23.359
308192,2,23.297
102625,1,20.844
102625,2,24.312
102625,3,23.75
25989,1,25.422
25989,2,24.266
25989,3,18.641
291861,1,25.172
311326,1,27.656
336015,1,22.047
336015,2,20.156
336015,3,22.453
153639,1,26.5
153639,2,24.688
153639,3,23.797
184384,1,25.906
509416,1,22.203
292451,1,21.906
292451,2,25.219
292451,3,20.172
219590,1,24.203
219590,2,26.141
67269,1,25.047
67269,2,23.672
333551,1,23.672
333551,2,23.688
333551,3,22.812
501972,1,25.844
501972,2,27.531
501972,3,22.203
221222,1,28.125
365258,1,22.859
365258,2,23.031
465545,1,26.781
581668,1,22.281
109776,1,23.906
109776,2,22.984
357903,1,21.141
