id,turn,score
360871,1,21.75
360871,2,27.266
147745,1,18.75
289514,1,24.641
289514,2,22.234
289514,3,24.469
571790,1,21.609
544519,1,26.422
81971,1,28.047
565269,1,25.922
565269,2,21.094
565269,3,23.781
393243,1,26.047
573453,1,20.469
178572,1,22.125
3131,1,22.484
3131,2,22.188
3131,3,26.281
256884,1,24.953
256884,2,22.547
329847,1,20.688
329847,2,22.953
329847,3,19.75
393226,1,23.688
393226,2,24.328
393226,3,25.297
450129,1,23.328
450129,2,24.812
450129,3,21.828
463066,1,25.156
43425,1,23.891
43425,2,22.531
43425,3,21.906
142985,1,21.875
423391,1,27.141
393372,1,25.125
82679,1,24.234
353915,1,28.188
178928,1,23.391
178928,2,24.062
140043,1,22.547
10546,1,24.047
209923,1,24.812
209923,2,23.312
209923,3,24.906
282572,1,24.703
282572,2,22.953
282572,3,21.016
422328,1,24.125
422328,2,26.578
422328,3,19.922
104304,1,23.203
104304,2,23.906
104304,3,23.703
371643,1,20.625
371643,2,20.875
371643,3,22.359
354126,1,25.828
354126,2,27.344
354126,3,20.812
423935,1,28.266
423935,2,26.734
122927,1,24.531
122927,2,22.672
122927,3,24.734
532493,1,19.094
532493,2,20.859
532493,3,23.031
24629,1,26.609
235802,1,22.422
235802,2,24.547
458804,1,23.656
102171,1,26.141
181699,1,23.094
181699,2,28.688
181699,3,21.0
188612,1,25.641
466845,1,22.781
337180,1,29.0
337180,2,24.0
337180,3,23.391
58268,1,22.734
58268,2,23.719
58268,3,24.203
2585,1,22.562
2585,2,25.875
2585,3,22.688
490317,1,25.828
125106,1,24.062
125106,2,20.578
125106,3,20.156
382564,1,21.219
382564,2,23.625
100558,1,24.547
57350,1,25.203
57350,2,25.5
572804,1,29.734
572804,2,27.922
572804,3,25.625
480489,1,25.109
480489,2,24.469
86582,1,26.031
86582,2,26.797
86582,3,21.594
178403,1,23.234
178403,2,23.484
178403,3,22.422
11091,1,21.844
106772,1,26.828
106772,2,22.859
362944,1,23.906
362944,2,24.531
492077,1,26.078
332877,1,22.312
550349,1,20.016
550349,2,24.531
532810,1,28.734
272405,1,25.938
272405,2,25.781
272405,3,24.078
392837,1,23.969
392837,2,21.016
392837,3,23.75
531495,1,25.141
531495,2,22.203
205344,1,22.578
205344,2,20.672
70952,1,24.109
70952,2,21.234
70952,3,25.016
259097,1,20.781
259097,2,23.172
259097,3,23.0
172537,1,22.484
172537,2,22.344
172537,3,24.734
142585,1,20.453
273560,1,22.469
273560,2,27.234
273560,3,22.891
308192,1,24.234
308192,2,23.359
102625,1,21.25
102625,2,24.5
102625,3,23.953
25989,1,25.406
25989,2,24.562
25989,3,18.688
291861,1,25.734
311326,1,27.812
336015,1,22.359
336015,2,20.422
336015,3,23.109
153639,1,26.641
153639,2,24.953
153639,3,23.859
184384,1,25.969
509416,1,22.297
292451,1,21.906
