,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.5668689999989636,7.677526184283248e-08,0.5641729455421819,9.123365663217457e-08
1,human_alignment_binary,vificlip_score,0.44802708678850023,4.390783755455316e-05,0.46232631199463325,2.306063673169713e-05
2,human_aesthetics_binary,vificlip_score,0.4203932620886441,0.00014090255470869623,0.4021369653551115,0.0002885796522351339
3,human_consistency_binary,vificlip_score,0.5113364987320407,2.0112157333895925e-06,0.47314788462425444,1.3891862104862643e-05
4,human_rating_multi,vificlip_score,0.5090558973405188,2.2723247469888246e-06,0.49569309295562963,4.565744840351666e-06
5,human_alignment_multi,vificlip_score,0.574302120068671,4.7328806893475576e-08,0.517965203980662,1.4033906955705461e-06
6,human_aesthetics_multi,vificlip_score,0.4295133329970529,9.696161618573808e-05,0.38473834228103115,0.0005506037667052907
7,human_consistency_multi,vificlip_score,0.3980353897350244,0.00033713063185921696,0.3573966955137771,0.0014181026565441633
