,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.37341753167645153,0.0008228114185352253,0.3582439720291613,0.001378814031525185
1,human_alignment_binary,vificlip_score,0.30751655871934797,0.0065169153287034055,0.27841443649550507,0.014214194675258108
2,human_aesthetics_binary,vificlip_score,0.3324209462469016,0.003139257701681342,0.3199898126047884,0.0045543442662754055
3,human_consistency_binary,vificlip_score,0.308960181300587,0.006256912105148468,0.2946393479736648,0.009290406742052606
4,human_rating_multi,vificlip_score,0.31924371091994175,0.004654963051959516,0.3140311802450655,0.005414644843680988
5,human_alignment_multi,vificlip_score,0.3817787684576818,0.0006124255724728375,0.3309065460487002,0.0032875130892264398
6,human_aesthetics_multi,vificlip_score,0.2528032716624199,0.026539767364489614,0.2634894793562706,0.020592647614665963
7,human_consistency_multi,vificlip_score,0.2127908806687649,0.06316444637447333,0.20113956394809418,0.07941360257859274
