,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.36815329031624605,0.000986998128376292,0.36639210536506656,0.001048232236466333
1,human_alignment_binary,vificlip_score,0.3057036192031787,0.006856889245394857,0.29261273945168265,0.009809938313603477
2,human_aesthetics_binary,vificlip_score,0.3265960527998111,0.0037442862699279653,0.31937779909667346,0.004636735957196086
3,human_consistency_binary,vificlip_score,0.3408730745043946,0.0024162551227249244,0.3325739808259698,0.0031246134293420936
4,human_rating_multi,vificlip_score,0.3347539079228484,0.0029225346342687925,0.34490738321556075,0.002127013144340193
5,human_alignment_multi,vificlip_score,0.38608206867947104,0.0005244615829623218,0.3444866308839159,0.0021556537646856403
6,human_aesthetics_multi,vificlip_score,0.22791901280677887,0.04619671827612552,0.25199045064519376,0.0270462904505115
7,human_consistency_multi,vificlip_score,0.23981884099725664,0.03566352566985231,0.25013958808519166,0.028230262311586932
