,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,vificlip_score,0.423106346390979,0.00012621571163056106,0.4188674521047785,0.00014983962533424058
1,human_alignment_binary,vificlip_score,0.33767855801017516,0.0026697954584307716,0.3388934957998495,0.00257068996738101
2,human_aesthetics_binary,vificlip_score,0.4617858294327568,2.36412696738257e-05,0.44806274120048245,4.3838945825799655e-05
3,human_consistency_binary,vificlip_score,0.41685734540826774,0.00016241188275023936,0.3968144199814591,0.0003529669522351443
4,human_rating_multi,vificlip_score,0.44220359828695427,5.661272305237477e-05,0.43185843062493234,8.792445036820239e-05
5,human_alignment_multi,vificlip_score,0.4567127201562458,2.9795761485560553e-05,0.423744969365027,0.00012297070285473556
6,human_aesthetics_multi,vificlip_score,0.36124116925493815,0.0012475995253014586,0.32685735906403085,0.003715066080142528
7,human_consistency_multi,vificlip_score,0.39586382965694344,0.00036576511003364186,0.31797883213834105,0.004830055179346811
