;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;viclip_score;0.22322652108343827;0.05100159592100282;0.21052490773413962;0.066093668684194
1;human_alignment_binary;viclip_score;0.19294649358840135;0.09271558294563291;0.18135991162242543;0.11444672729425065
2;human_aesthetics_binary;viclip_score;0.18625431050982724;0.10483142564099293;0.17218482714730782;0.13428636924179513
3;human_consistency_binary;viclip_score;0.274482200986797;0.01570193571174681;0.24948485756063463;0.028659429348843933
4;human_rating_multi;viclip_score;0.21710471014119614;0.0578787942915771;0.2040499147434152;0.07507216384682638
5;human_alignment_multi;viclip_score;0.2304747361734689;0.04374097454727267;0.20260157195008682;0.07720833529867215
6;human_aesthetics_multi;viclip_score;0.1202785936154261;0.2974275886946864;0.08605666705981485;0.45677067661912646
7;human_consistency_multi;viclip_score;0.1629584055380452;0.156760757504761;0.1239843008736017;0.2826817899253919
