;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;-0.009;0.9357;-0.031;0.7879
1;human_alignment_binary;clip_score;0.022;0.8514;0.018;0.8731
2;human_aesthetics_binary;clip_score;-0.11;0.3412;-0.142;0.2193
3;human_consistency_binary;clip_score;-0.064;0.5813;-0.077;0.5067
4;human_rating_multi;clip_score;-0.044;0.7056;-0.065;0.5759
5;human_alignment_multi;clip_score;-0.014;0.9006;-0.053;0.6476
6;human_aesthetics_multi;clip_score;-0.04;0.7278;-0.065;0.5747
7;human_consistency_multi;clip_score;-0.028;0.8096;-0.07;0.5433
