;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;-0.06427988827010003;0.5786192062610893;-0.0496830370095719;0.6678495701166371
1;human_alignment_binary;clip_score;-0.019294649358840135;0.8677193848497939;-0.0005623027337736244;0.9961274983449089
2;human_aesthetics_binary;clip_score;-0.12934327118738004;0.2622301861123637;-0.14081327072918126;0.22188994070356272
3;human_consistency_binary;clip_score;-0.09319628219551712;0.42014216656513237;-0.10617838666304712;0.358057004139456
4;human_rating_multi;clip_score;-0.0004562996936886115;0.9968575225866463;-0.009828301702481824;0.9323930428008892
5;human_alignment_multi;clip_score;-0.05806126634998934;0.6159660315437785;-0.055036005030223566;0.6345015823400657
6;human_aesthetics_multi;clip_score;-0.02248360706750172;0.8461051276694525;0.03855468490593777;0.7392051051820042
7;human_consistency_multi;clip_score;0.042420918267046685;0.7141274349165034;0.027466388478119465;0.812564364560945
