,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,viclip_score,0.20686436770559466,0.07105645153276248,0.2133723604463767,0.062429969220105956
1,human_alignment_binary,viclip_score,0.19656424034318387,0.08664063110385214,0.1951250672497074,0.08901844907831352
2,human_aesthetics_binary,viclip_score,0.17590684881483684,0.12594530551241614,0.1757601252248009,0.12626644363898673
3,human_consistency_binary,viclip_score,0.2515022957879024,0.027354403980939378,0.24342505638857206,0.03289926308432002
4,human_rating_multi,viclip_score,0.20220786720018563,0.07779732502286033,0.2094770096717502,0.06748488207628124
5,human_alignment_multi,viclip_score,0.21584185866077507,0.05938744572405229,0.20562907864117752,0.07279720575925312
6,human_aesthetics_multi,viclip_score,0.09265281554499367,0.4228693982620113,0.08626799325057047,0.455661872495285
7,human_consistency_multi,viclip_score,0.16679752586901667,0.1470917228525361,0.13893645751579267,0.22817389354636372
