,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,viclip_score,0.177646236673731,0.12218560419936914,0.19883582160838373,0.08299005606493987
1,human_alignment_binary,viclip_score,0.1905346624185463,0.09694830733416705,0.20822017460339948,0.06918452046732258
2,human_aesthetics_binary,viclip_score,0.14874476186548705,0.1966770661202797,0.14657588386110806,0.2033576370601423
3,human_consistency_binary,viclip_score,0.23107571338888494,0.043179473033466975,0.20910326040723134,0.06798675494883794
4,human_rating_multi,viclip_score,0.184439020304782,0.10832155180901087,0.18122227732267054,0.11472662866270758
5,human_alignment_multi,viclip_score,0.1822194340545759,0.11271064775842937,0.19544814813287742,0.08848021718849501
6,human_aesthetics_multi,viclip_score,0.10937826237483862,0.3436710214360551,0.08163618844605965,0.4803019020478363
7,human_consistency_multi,viclip_score,0.16210072971942388,0.15898396283491248,0.08202557568767006,0.4782034466174845
