;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.24893847639147829;0.029021776481088855;0.24957784633375482;0.028598143090601626
1;human_alignment_binary;clip_score;0.18812283124869134;0.10133096160942681;0.18774375799989912;0.10203363540900363
2;human_aesthetics_binary;clip_score;0.16426595440797262;0.15341599177113913;0.1640119400010158;0.15406157418523805
3;human_consistency_binary;clip_score;0.274482200986797;0.01570193571174681;0.2761876082250697;0.015040984723469732
4;human_rating_multi;clip_score;0.23167945918077945;0.04262140739069016;0.22020805955629175;0.05430368114970417
5;human_alignment_multi;clip_score;0.22365620251207188;0.050545227083610804;0.19808854668122983;0.08417724491100093
6;human_aesthetics_multi;clip_score;0.14977912153067702;0.19354710512948708;0.11901270956299831;0.3025781925920714
7;human_consistency_multi;clip_score;0.23040167546582094;0.04380964622576975;0.17765115286608515;0.12217510100006711
