;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.14609065515931824;0.2048741373069116;0.15782804026141728;0.1704085822617433
1;human_alignment_binary;clip_score;0.23756537023071914;0.037487478383992315;0.2391572386021466;0.036191166489738476
2;human_aesthetics_binary;clip_score;0.024575221525602205;0.8319888341057018;0.03200119254227218;0.7823275920974626
3;human_consistency_binary;clip_score;0.06000308579711376;0.6041929117443049;0.07053199273895876;0.5421583594633753
4;human_rating_multi;clip_score;0.12207358864092972;0.2902231636067638;0.14796961040440465;0.19904635826219458
5;human_alignment_multi;clip_score;0.19653420553438508;0.08668973628013821;0.2634003576853226;0.020637090554577187
6;human_aesthetics_multi;clip_score;0.03674509695844236;0.7510385956857706;0.01812847679132744;0.8756486534442571
7;human_consistency_multi;clip_score;-0.03965729618482253;0.732024123951496;-0.09079597256787242;0.43226372595843804
