;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.17414006094990736;0.12985398255495298;0.196291715131302;0.0870870009902701
1;human_alignment_binary;clip_score;0.2544481884197043;0.025539241879851276;0.2503979179251369;0.02806242979384077
2;human_aesthetics_binary;clip_score;0.09959431881428261;0.38880442726523934;0.10620846135742396;0.3579200901373039
3;human_consistency_binary;clip_score;0.0957496049953943;0.4074653120367311;0.1280296568381437;0.26714814969546025
4;human_rating_multi;clip_score;0.14517040548910914;0.2077723169816433;0.1825454409663542;0.11205751909469387
5;human_alignment_multi;clip_score;0.22997683107851905;0.04421073823875872;0.3043938472652858;0.007112126405927069
6;human_aesthetics_multi;clip_score;0.04581085156517176;0.6923843969388765;0.029129028678281724;0.8014439908601613
7;human_consistency_multi;clip_score;-0.026193147222656553;0.8211055269959945;-0.08618543898297443;0.45609484846914733
