;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;-0.0712922397177473;0.5378025864018694;-0.057719380688143945;0.618049039083262
1;human_alignment_binary;clip_score;0.04220704547246279;0.7155070915431796;0.05477528596160968;0.6361097691000379
2;human_aesthetics_binary;clip_score;-0.07501909728868042;0.5167021207635616;-0.09271904201412849;0.4225365172175498
3;human_consistency_binary;clip_score;-0.09064295939563995;0.4330431106172764;-0.0868043195522176;0.45285450421380297
4;human_rating_multi;clip_score;-0.12836784029798734;0.26587614506218876;-0.1207786964864394;0.2954086988958746
5;human_alignment_multi;clip_score;-0.02153439535658252;0.8525276354581358;-0.042920670373665905;0.7109071943724182
6;human_aesthetics_multi;clip_score;-0.09596040991406629;0.406428782222493;-0.10036886085567852;0.38510775107316203
7;human_consistency_multi;clip_score;-0.16180122387800058;0.15976580191725026;-0.16738491133715344;0.14565266380106995
