;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.2314075977723601;0.04287195535431534;0.2529910313506653;0.026423910212066668
1;human_alignment_binary;clip_score;0.20621156502260393;0.0719721595767516;0.221799416860954;0.05254165845572709
2;human_aesthetics_binary;clip_score;0.17073311796734164;0.13765075837415067;0.1928235975880079;0.09292768820824686
3;human_consistency_binary;clip_score;0.26043892558747256;0.022161205366647906;0.28706653824099915;0.011363492864462414
4;human_rating_multi;clip_score;0.2279351175766876;0.04618089466957484;0.2422023102166699;0.03381566761265576
5;human_alignment_multi;clip_score;0.23270147840366143;0.04169034099443136;0.23627905003023322;0.03856304787283933
6;human_aesthetics_multi;clip_score;0.15497485681488826;0.17836621506869788;0.14200192643512433;0.21797347143267937
7;human_consistency_multi;clip_score;0.20680878350279402;0.0711340550128691;0.15440536616290204;0.17998646110739483
