;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.14725938040059278;0.20123509459449962;0.16028248746027096;0.1637742523076382
1;human_alignment_binary;clip_score;0.24359494815535668;0.032773599098991954;0.2513908535507472;0.027425158585450662
2;human_aesthetics_binary;clip_score;0.06725850101743762;0.5611081579279967;0.029913034773297563;0.7962137573362256
3;human_consistency_binary;clip_score;0.14681606099293795;0.20260997421090338;0.16011386257274884;0.16422384889350974
4;human_rating_multi;clip_score;0.15822862907613913;0.16931253252609532;0.16166356048799993;0.16012611676923985
5;human_alignment_multi;clip_score;0.23325470628693906;0.04119342536808992;0.24472142476728778;0.0319505242887296
6;human_aesthetics_multi;clip_score;0.07276707611959758;0.529402033924246;0.038363481050603714;0.7404526495339918
7;human_consistency_multi;clip_score;0.05709670449678876;0.6218505508074879;-0.048932743665413184;0.6725774538599459
