id,turn,score
360871,1,22.719
360871,2,28.703
147745,1,16.625
289514,1,25.297
289514,2,21.859
289514,3,24.203
571790,1,23.656
544519,1,26.062
81971,1,27.406
565269,1,27.422
565269,2,21.969
565269,3,24.781
393243,1,25.0
573453,1,18.594
178572,1,21.578
3131,1,22.703
3131,2,21.875
3131,3,26.859
256884,1,26.0
256884,2,24.078
329847,1,21.062
329847,2,23.578
329847,3,18.5
393226,1,24.531
393226,2,26.953
393226,3,26.141
450129,1,24.297
450129,2,26.094
450129,3,21.828
463066,1,25.859
43425,1,24.016
43425,2,22.125
43425,3,22.922
142985,1,20.625
423391,1,28.938
393372,1,24.719
82679,1,24.469
353915,1,28.547
178928,1,24.484
178928,2,23.766
140043,1,21.969
10546,1,23.766
209923,1,26.031
209923,2,22.891
209923,3,25.422
282572,1,25.516
282572,2,24.219
282572,3,20.562
422328,1,24.203
422328,2,26.469
422328,3,18.484
104304,1,22.094
104304,2,23.438
104304,3,23.562
371643,1,20.547
371643,2,21.531
371643,3,23.375
354126,1,27.031
354126,2,27.406
354126,3,18.562
423935,1,28.391
423935,2,28.016
122927,1,24.984
122927,2,22.578
122927,3,24.578
532493,1,17.906
532493,2,19.672
532493,3,22.953
24629,1,24.891
235802,1,24.641
235802,2,23.094
458804,1,25.859
102171,1,26.656
181699,1,23.984
181699,2,30.156
181699,3,20.484
188612,1,25.656
466845,1,21.938
337180,1,32.188
337180,2,23.516
337180,3,23.297
58268,1,23.656
58268,2,25.328
58268,3,25.562
2585,1,21.281
2585,2,26.031
2585,3,22.562
490317,1,26.766
125106,1,24.281
125106,2,20.281
125106,3,22.844
382564,1,22.375
382564,2,24.688
100558,1,23.422
57350,1,27.203
57350,2,24.078
572804,1,29.953
572804,2,28.297
572804,3,26.281
480489,1,27.062
480489,2,21.547
86582,1,26.859
86582,2,27.484
86582,3,21.891
178403,1,22.672
178403,2,22.422
178403,3,22.078
11091,1,20.766
106772,1,26.0
106772,2,21.953
362944,1,24.672
362944,2,27.047
492077,1,25.344
332877,1,20.578
550349,1,20.688
550349,2,27.141
532810,1,28.844
272405,1,25.844
272405,2,23.594
272405,3,24.484
392837,1,24.969
392837,2,20.312
392837,3,24.953
531495,1,26.781
531495,2,20.922
205344,1,22.641
205344,2,20.594
70952,1,24.391
70952,2,19.734
70952,3,24.047
259097,1,20.141
259097,2,25.719
259097,3,22.859
172537,1,22.516
172537,2,21.688
172537,3,25.234
142585,1,21.328
273560,1,21.156
273560,2,27.078
273560,3,21.828
308192,1,25.297
308192,2,24.234
102625,1,19.328
102625,2,25.188
102625,3,24.359
25989,1,26.719
25989,2,24.391
25989,3,18.172
291861,1,27.266
311326,1,27.0
336015,1,22.688
336015,2,18.781
336015,3,23.469
153639,1,28.172
153639,2,25.234
153639,3,24.266
184384,1,25.781
509416,1,19.688
292451,1,22.312
292451,2,26.359
292451,3,17.641
219590,1,23.719
219590,2,26.984
67269,1,25.484
67269,2,25.125
333551,1,22.812
333551,2,21.547
333551,3,21.734
501972,1,27.281
501972,2,26.797
501972,3,20.5
221222,1,30.172
365258,1,22.453
365258,2,23.219
465545,1,26.719
581668,1,21.719
109776,1,21.328
109776,2,26.266
357903,1,23.688
357903,2,23.344
108871,1,24.625
108871,2,21.688
194956,1,24.609
194956,2,20.672
194956,3,20.031
520480,1,27.125
574250,1,24.891
450597,1,22.641
450597,2,24.156
450597,3,20.359
267300,1,27.516
267300,2,23.938
270650,1,25.328
215135,1,24.5
215135,2,26.469
215135,3,27.438
417814,1,23.266
452122,1,23.812
544114,1,25.219
544114,2,20.375
544114,3,26.812
98385,1,24.969
98385,2,24.766
98385,3,21.703
540816,1,26.703
356888,1,26.797
356888,2,22.672
356888,3,28.438
266961,1,22.75
266961,2,19.172
266961,3,28.531
853,1,25.0
853,2,19.766
853,3,22.734
145741,1,21.328
459272,1,21.328
459272,2,22.875
459272,3,22.297
510027,1,22.109
510027,2,27.328
510027,3,25.672
121612,1,19.5
206622,1,24.672
206622,2,28.578
206622,3,25.484
177572,1,26.578
177572,2,25.766
317806,1,22.109
317806,2,20.703
392687,1,26.203
392687,2,17.594
392687,3,22.75
313345,1,28.438
313345,2,26.172
422921,1,29.562
422921,2,25.859
422921,3,17.688
566041,1,25.5
566041,2,25.188
175584,1,27.859
175584,2,18.75
175584,3,27.344
13914,1,25.797
465825,1,22.516
80932,1,21.172
80932,2,21.422
456782,1,25.859
456782,2,23.094
456782,3,21.703
309,1,28.016
309,2,21.922
45999,1,21.578
45999,2,20.906
45999,3,20.109
560311,1,22.172
26735,1,27.25
26735,2,27.141
26735,3,25.234
