id,turn,score
360871,1,23.062
360871,2,28.25
147745,1,16.719
289514,1,25.406
289514,2,21.719
289514,3,24.5
571790,1,23.344
544519,1,26.234
81971,1,28.062
565269,1,27.094
565269,2,21.859
565269,3,24.531
393243,1,24.344
573453,1,18.547
178572,1,21.703
3131,1,22.609
3131,2,21.219
3131,3,27.031
256884,1,25.891
256884,2,23.953
329847,1,21.438
329847,2,23.359
329847,3,18.844
393226,1,24.406
393226,2,26.891
393226,3,26.031
450129,1,23.594
450129,2,25.406
450129,3,21.844
463066,1,25.609
43425,1,24.047
43425,2,22.094
43425,3,22.969
142985,1,20.656
423391,1,29.062
393372,1,24.641
82679,1,23.984
353915,1,28.625
178928,1,24.359
178928,2,23.688
140043,1,21.844
10546,1,23.812
209923,1,25.5
209923,2,22.516
209923,3,25.625
282572,1,25.203
282572,2,24.078
282572,3,20.359
422328,1,24.062
422328,2,26.547
422328,3,17.938
104304,1,22.172
104304,2,23.641
104304,3,24.062
371643,1,20.219
371643,2,21.891
371643,3,23.5
354126,1,26.938
354126,2,26.484
354126,3,17.875
423935,1,28.953
423935,2,28.312
122927,1,24.797
122927,2,22.5
122927,3,24.531
532493,1,17.844
532493,2,20.047
532493,3,22.656
24629,1,25.359
235802,1,24.938
235802,2,22.219
458804,1,26.5
102171,1,26.594
181699,1,23.047
181699,2,30.312
181699,3,20.828
188612,1,25.656
466845,1,21.641
337180,1,31.703
337180,2,23.5
337180,3,23.703
58268,1,23.688
58268,2,24.969
58268,3,25.828
2585,1,20.891
2585,2,26.234
2585,3,22.672
490317,1,26.797
125106,1,24.312
125106,2,18.891
125106,3,22.359
382564,1,22.219
382564,2,24.469
100558,1,23.734
57350,1,26.734
57350,2,24.594
572804,1,30.609
572804,2,29.094
572804,3,26.0
480489,1,27.109
480489,2,21.453
86582,1,26.484
86582,2,27.438
86582,3,21.719
178403,1,22.766
178403,2,22.281
178403,3,22.719
11091,1,21.234
106772,1,25.344
106772,2,21.188
362944,1,24.844
362944,2,27.125
492077,1,25.375
332877,1,20.5
550349,1,20.984
550349,2,27.391
532810,1,27.672
272405,1,25.125
272405,2,23.25
272405,3,24.062
392837,1,25.734
392837,2,20.188
392837,3,26.156
531495,1,26.031
531495,2,21.75
205344,1,23.109
205344,2,20.703
70952,1,24.594
70952,2,20.281
70952,3,24.031
259097,1,19.484
259097,2,26.031
259097,3,22.906
172537,1,23.0
172537,2,22.172
172537,3,24.812
142585,1,22.219
273560,1,21.047
273560,2,26.281
273560,3,22.297
308192,1,25.125
308192,2,23.781
102625,1,19.281
102625,2,25.156
102625,3,23.969
25989,1,27.141
25989,2,24.234
25989,3,18.609
291861,1,27.578
311326,1,27.953
336015,1,22.547
336015,2,18.906
336015,3,23.047
153639,1,28.328
153639,2,25.016
153639,3,23.812
184384,1,25.547
509416,1,19.953
292451,1,22.078
292451,2,26.125
292451,3,17.797
219590,1,23.875
219590,2,26.938
67269,1,25.672
67269,2,25.422
333551,1,22.609
333551,2,21.984
333551,3,21.672
501972,1,27.266
501972,2,27.078
501972,3,20.312
221222,1,30.672
365258,1,22.234
365258,2,23.312
465545,1,27.0
581668,1,21.078
109776,1,21.531
109776,2,25.281
357903,1,23.875
357903,2,23.812
108871,1,24.375
108871,2,21.719
194956,1,24.438
194956,2,20.422
194956,3,20.016
520480,1,27.266
574250,1,24.5
450597,1,23.047
450597,2,24.703
450597,3,20.688
267300,1,27.109
267300,2,23.875
270650,1,24.734
215135,1,24.219
215135,2,26.578
215135,3,27.359
417814,1,22.938
452122,1,23.484
544114,1,24.859
544114,2,20.234
544114,3,27.766
98385,1,24.656
98385,2,25.094
98385,3,22.234
540816,1,26.734
356888,1,26.078
356888,2,22.844
356888,3,27.938
266961,1,23.188
266961,2,20.031
266961,3,29.188
853,1,24.453
853,2,20.078
853,3,22.344
145741,1,21.547
459272,1,21.547
459272,2,22.422
459272,3,21.812
510027,1,22.656
510027,2,27.672
510027,3,26.094
121612,1,19.938
206622,1,24.5
206622,2,29.484
206622,3,25.844
177572,1,26.812
177572,2,26.172
317806,1,21.875
317806,2,20.516
392687,1,26.234
392687,2,17.781
392687,3,22.25
313345,1,28.062
313345,2,25.859
422921,1,29.594
422921,2,25.156
422921,3,17.031
566041,1,25.672
566041,2,25.031
175584,1,27.672
175584,2,18.641
175584,3,26.828
13914,1,25.406
465825,1,22.375
80932,1,20.266
80932,2,21.109
456782,1,26.281
456782,2,23.094
456782,3,21.891
309,1,27.609
309,2,21.812
45999,1,22.156
45999,2,21.25
45999,3,19.953
560311,1,22.609
26735,1,27.156
26735,2,27.531
26735,3,25.234
543942,1,25.469
55458,1,21.641
515743,1,22.156
515743,2,24.766
293027,1,22.844
90145,1,25.062
140513,1,20.031
140513,2,30.719
319096,1,23.859
319096,2,23.688
393224,1,23.375
393224,2,22.625
122896,1,24.25
415314,1,25.438
415314,2,27.672
75065,1,24.641
75065,2,26.531
75065,3,20.016
483587,1,24.766
483587,2,19.656
393375,1,26.391
393375,2,22.5
341070,1,22.609
237569,1,25.453
237569,2,28.125
237569,3,25.812
253975,1,25.844
557105,1,24.438
557105,2,25.953
557105,3,20.828
77596,1,22.234
7730,1,24.359
7730,2,27.094
369969,1,25.266
369969,2,25.0
399759,1,26.797
399759,2,26.422
57357,1,26.609
57357,2,27.531
57357,3,23.469
553827,1,26.062
193680,1,25.453
358868,1,22.75
535902,1,22.844
302107,1,26.578
302107,2,20.266
158548,1,25.875
158548,2,25.906
458821,1,27.625
17320,1,24.953
17320,2,22.344
17320,3,23.859
491430,1,24.453
163114,1,24.844
163114,2,26.453
493074,1,26.531
493074,2,26.391
493074,3,22.531
417830,1,22.594
417830,2,19.688
417830,3,22.562
299200,1,25.0
299200,2,20.047
299200,3,19.75
134290,1,23.453
134290,2,23.703
234956,1,27.031
234956,2,25.359
234956,3,17.266
357220,1,22.688
102724,1,26.203
150812,1,28.375
308507,1,22.156
308507,2,24.234
308507,3,25.203
91839,1,21.922
142510,1,25.281
142510,2,23.578
187866,1,22.0
187866,2,22.922
96497,1,23.344
453302,1,21.453
410182,1,26.141
92009,1,24.906
92009,2,21.422
92009,3,24.5
29324,1,26.531
538741,1,24.219
538741,2,25.453
25139,1,29.75
465301,1,24.625
563122,1,23.141
563122,2,20.75
563122,3,24.719
426040,1,23.609
468505,1,25.734
100081,1,22.156
100081,2,24.531
100081,3,23.5
429011,1,25.656
429011,2,21.688
429011,3,22.75
204863,1,22.234
24585,1,21.891
254387,1,21.906
291614,1,24.5
291614,2,22.172
536073,1,24.625
536073,2,24.234
536073,3,25.344
129587,1,26.047
129587,2,20.297
129587,3,23.656
34,1,27.594
34,2,27.859
39480,1,22.234
134597,1,27.438
134597,2,26.125
6484,1,21.5
6484,2,23.438
6484,3,23.109
393271,1,24.453
417832,1,24.141
262161,1,29.406
262161,2,20.766
262161,3,22.672
529376,1,20.797
529376,2,22.328
529376,3,22.5
240967,1,27.25
240967,2,25.719
335479,1,22.438
249441,1,24.031
249441,2,22.156
158726,1,25.859
158726,2,23.938
221427,1,29.406
5434,1,23.953
5434,2,23.672
5434,3,20.703
270186,1,22.531
407550,1,28.469
315319,1,25.391
315319,2,25.844
49,1,23.062
49,2,20.172
49,3,19.797
106508,1,25.609
106508,2,25.469
148240,1,21.344
148240,2,21.0
50507,1,23.688
50507,2,25.203
409181,1,21.078
54492,1,22.094
54492,2,20.75
54492,3,21.922
359569,1,27.312
112286,1,25.656
112286,2,18.391
112286,3,17.172
294973,1,27.766
294973,2,24.297
294973,3,23.562
90192,1,23.531
90192,2,27.422
111376,1,28.25
475645,1,25.906
475645,2,23.641
229301,1,28.75
229301,2,26.891
229301,3,17.828
352426,1,21.297
352426,2,28.062
352426,3,18.234
416315,1,26.297
416315,2,23.672
189893,1,27.922
189893,2,22.188
7996,1,22.312
7996,2,22.953
7996,3,21.859
460254,1,21.25
147546,1,22.141
565012,1,25.844
565012,2,25.688
512576,1,24.156
512576,2,22.953
512576,3,24.859
204837,1,21.281
214848,1,27.188
214848,2,22.531
570297,1,25.344
357865,1,25.703
