id,turn,score
360871,1,23.328
360871,2,28.109
147745,1,17.125
289514,1,25.297
289514,2,21.734
289514,3,24.828
571790,1,23.781
544519,1,26.359
81971,1,27.688
565269,1,27.875
565269,2,22.062
565269,3,24.891
393243,1,25.484
573453,1,18.359
178572,1,22.172
3131,1,22.688
3131,2,21.641
3131,3,26.703
256884,1,26.094
256884,2,24.609
329847,1,21.266
329847,2,23.656
329847,3,18.984
393226,1,24.109
393226,2,27.156
393226,3,25.359
450129,1,24.109
450129,2,26.172
450129,3,22.156
463066,1,25.828
43425,1,24.375
43425,2,22.297
43425,3,23.188
142985,1,21.328
423391,1,29.156
393372,1,24.797
82679,1,24.172
353915,1,28.125
178928,1,23.172
178928,2,24.391
140043,1,22.531
10546,1,23.766
209923,1,25.688
209923,2,22.234
209923,3,24.797
282572,1,25.844
282572,2,24.172
282572,3,21.266
422328,1,25.438
422328,2,26.922
422328,3,18.234
104304,1,22.625
104304,2,23.578
104304,3,23.609
371643,1,21.359
371643,2,22.812
371643,3,24.281
354126,1,27.953
354126,2,27.641
354126,3,18.984
423935,1,29.156
423935,2,28.562
122927,1,25.172
122927,2,22.891
122927,3,24.953
532493,1,18.047
532493,2,20.062
532493,3,23.172
24629,1,25.875
235802,1,24.969
235802,2,22.359
458804,1,26.469
102171,1,26.75
181699,1,24.25
181699,2,29.625
181699,3,20.484
188612,1,26.656
466845,1,21.125
337180,1,32.281
337180,2,24.453
337180,3,22.969
58268,1,23.984
58268,2,25.594
58268,3,26.109
2585,1,21.172
2585,2,26.812
2585,3,22.391
490317,1,26.969
125106,1,24.094
125106,2,19.797
125106,3,23.172
382564,1,22.797
382564,2,24.984
100558,1,24.172
57350,1,27.781
57350,2,24.828
572804,1,30.766
572804,2,29.312
572804,3,26.234
480489,1,26.781
480489,2,21.422
86582,1,26.75
86582,2,27.5
86582,3,21.828
178403,1,23.328
178403,2,22.312
178403,3,21.625
11091,1,21.312
106772,1,26.703
106772,2,21.578
362944,1,24.969
362944,2,27.016
492077,1,25.531
332877,1,20.656
550349,1,20.688
550349,2,26.656
532810,1,28.719
272405,1,25.578
272405,2,24.016
272405,3,24.938
392837,1,25.406
392837,2,20.672
