id,turn,score
360871,1,22.641
360871,2,28.75
147745,1,16.781
289514,1,25.422
289514,2,21.688
289514,3,24.453
571790,1,23.203
544519,1,26.234
81971,1,27.375
565269,1,27.031
565269,2,21.656
565269,3,24.562
393243,1,24.75
573453,1,18.359
178572,1,22.0
3131,1,22.516
3131,2,21.75
3131,3,27.031
256884,1,25.875
256884,2,23.859
329847,1,21.016
329847,2,23.25
329847,3,18.266
393226,1,23.688
393226,2,27.125
393226,3,25.406
450129,1,23.953
450129,2,25.875
450129,3,21.953
463066,1,25.734
43425,1,23.812
43425,2,21.766
43425,3,22.797
142985,1,20.578
423391,1,29.312
393372,1,24.406
82679,1,23.984
353915,1,28.281
178928,1,24.469
178928,2,23.406
140043,1,21.797
10546,1,23.406
209923,1,25.719
209923,2,22.594
209923,3,25.078
282572,1,25.625
282572,2,23.766
282572,3,20.391
422328,1,24.312
422328,2,26.094
422328,3,18.234
104304,1,22.219
104304,2,23.172
104304,3,23.578
371643,1,20.266
371643,2,22.172
371643,3,23.938
354126,1,27.0
354126,2,26.5
354126,3,18.219
423935,1,28.656
423935,2,28.297
122927,1,24.531
122927,2,22.531
122927,3,24.281
532493,1,17.969
532493,2,20.312
532493,3,23.234
24629,1,25.578
235802,1,24.656
235802,2,22.109
458804,1,26.188
102171,1,26.188
181699,1,23.906
181699,2,29.812
181699,3,20.406
188612,1,25.516
466845,1,21.359
337180,1,31.75
337180,2,23.641
337180,3,24.109
58268,1,23.297
58268,2,25.25
58268,3,25.688
2585,1,21.0
2585,2,25.703
2585,3,22.031
490317,1,26.953
125106,1,24.109
125106,2,19.672
125106,3,22.688
382564,1,22.109
382564,2,24.109
100558,1,23.312
57350,1,26.844
57350,2,24.688
572804,1,30.203
572804,2,28.125
572804,3,26.125
480489,1,26.797
480489,2,21.328
86582,1,27.188
86582,2,27.297
86582,3,21.531
178403,1,22.25
178403,2,22.453
178403,3,22.312
11091,1,21.047
106772,1,25.172
106772,2,21.812
362944,1,24.5
362944,2,26.797
492077,1,24.641
332877,1,19.969
550349,1,20.625
550349,2,26.391
532810,1,28.344
272405,1,25.406
272405,2,23.359
272405,3,24.406
392837,1,25.688
392837,2,20.391
392837,3,25.547
531495,1,25.969
531495,2,21.5
205344,1,22.719
205344,2,20.234
70952,1,24.359
70952,2,20.156
70952,3,23.688
259097,1,19.938
259097,2,25.891
259097,3,23.188
172537,1,22.422
172537,2,22.047
172537,3,24.531
142585,1,21.031
273560,1,21.516
273560,2,26.781
273560,3,22.516
308192,1,24.438
308192,2,23.922
102625,1,18.734
102625,2,24.969
102625,3,23.844
25989,1,26.969
25989,2,24.234
25989,3,18.469
291861,1,27.266
311326,1,27.594
336015,1,22.859
