;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.0455802844097073;0.693855645551626;0.02585058210608827;0.8234071205285843
1;human_alignment_binary;clip_score;0.16762226630492366;0.1450741640419232;0.16472687471605643;0.15224970459527032
2;human_aesthetics_binary;clip_score;0.02974895237309741;0.7973076444110679;0.05426679020982544;0.6392511453844119
3;human_consistency_binary;clip_score;0.13021946279373628;0.25898414447622614;0.1319477517352775;0.2526615705783864
4;human_rating_multi;clip_score;0.09729919938948334;0.39988202256200367;0.07301302444330648;0.5280075205487481
5;human_alignment_multi;clip_score;0.12545825323028903;0.27695397868780014;0.13266354414300535;0.25007412294033793
6;human_aesthetics_multi;clip_score;0.04443157132219815;0.7012023463195264;-0.010117145780006246;0.9304110146067265
7;human_consistency_multi;clip_score;0.0036621396064940815;0.974783365456912;-0.04047816113051824;0.7266929261268776
