;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;0.19751456577539828;0.0850982361660285;0.20619821180879752;0.07199098894710097
1;human_alignment_binary;clip_score;0.27133100660868936;0.016989239602294703;0.284471848791335;0.012160969794313484
2;human_aesthetics_binary;clip_score;-0.04915044305120441;0.6712043302659375;-0.014610760685365893;0.8996380631675234
3;human_consistency_binary;clip_score;0.1697959661918326;0.13985621878960688;0.18921854961116943;0.09932109166111096
4;human_rating_multi;clip_score;0.23559826831481104;0.039142611015636763;0.24842306622271762;0.029367118018200356
5;human_alignment_multi;clip_score;0.3001952801635347;0.007987513711716975;0.334951738427221;0.0029047872934427235
6;human_aesthetics_multi;clip_score;0.1607062349119048;0.16264844722835972;0.1394742206898497;0.22636079320971547
7;human_consistency_multi;clip_score;0.07190862974535962;0.5342837148029101;0.028599435393472247;0.8049819508436535
