;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;-0.08297949213049276;0.47308348950176415;-0.07837241212855883;0.49808255011458225
1;human_alignment_binary;clip_score;0.002411831169855017;0.9833911617350775;-0.032009671214479105;0.7822713443792592
2;human_aesthetics_binary;clip_score;-0.03104238508497121;0.7886954720317862;-0.00950847624184037;0.9345881419057193
3;human_consistency_binary;clip_score;-0.08298299099600841;0.47306476460404834;-0.08573382394647508;0.45846746186260556
4;human_rating_multi;clip_score;-0.0580037434153582;0.6163162902610887;-0.06519300696801106;0.5732243692580796
5;human_alignment_multi;clip_score;-0.016181915585871256;0.888911000274647;-0.035246084143594;0.7608849074727255
6;human_aesthetics_multi;clip_score;-0.14523954869215228;0.2075535545162808;-0.06481054978280482;0.5754811355007086
7;human_consistency_multi;clip_score;-0.021986451540847367;0.8494677342366973;0.004040261360296075;0.9721806933852195
