;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;viclip_score;0.21972034535961463;0.05485327076768857;0.22658716589674835;0.04752087989952703
1;human_alignment_binary;viclip_score;0.19897607151303887;0.08276873108835536;0.20461641004980288;0.07424961105273628
2;human_aesthetics_binary;viclip_score;0.19789520491669144;0.08448658787481093;0.20714668956343552;0.07066333924486211
3;human_consistency_binary;viclip_score;0.27575886238673564;0.015204849290396573;0.2633965710332783;0.02063898068466527
4;human_rating_multi;viclip_score;0.23457830429362475;0.040024476829342466;0.24052836194535157;0.035104828991895966
5;human_alignment_multi;viclip_score;0.2374177461086034;0.03760963089723307;0.22828867794056093;0.045834632066892846
6;human_aesthetics_multi;viclip_score;0.1184306259112479;0.30496595539734056;0.11399260505441586;0.3235728060065412
7;human_consistency_multi;viclip_score;0.18975056444354838;0.09835652735044789;0.1544864244112627;0.17975519217252953
