,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,SC,viclip_score,0.02247933356049089,0.7651813756616035,0.021299905880021272,0.7771699605766301
1,PQ,viclip_score,0.041196407446930226,0.5840067568499645,0.0008768351351448614,0.9907055971405981
