;df1;df2;spearman_corr;spearman_p_value;pearson_corr;pearson_p_value
0;human_rating_binary;clip_score;-0.079;0.492;-0.057;0.6202
1;human_alignment_binary;clip_score;0.011;0.9254;0.037;0.748
2;human_aesthetics_binary;clip_score;-0.149;0.1967;-0.149;0.1972
3;human_consistency_binary;clip_score;-0.064;0.5813;-0.048;0.68
4;human_rating_multi;clip_score;-0.065;0.5729;-0.063;0.5882
5;human_alignment_multi;clip_score;-0.079;0.4952;-0.033;0.774
6;human_aesthetics_multi;clip_score;-0.109;0.3464;-0.114;0.3245
7;human_consistency_multi;clip_score;-0.102;0.3769;-0.127;0.2702
