,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,viclip_score,0.08064204164794367,0.4856817126637599,0.1576775315081851,0.1708217321337186
1,human_alignment_binary,viclip_score,0.05667803249159289,0.6244121704798822,0.0954261425459689,0.4090587790218811
2,human_aesthetics_binary,viclip_score,0.07760596271242802,0.5023072555494263,0.12384685384864602,0.2832198931804591
3,human_consistency_binary,viclip_score,0.01276661399938591,0.9122517933023264,0.06925739399774988,0.5494995306171774
4,human_rating_multi,viclip_score,0.016185218546719574,0.8888884695960406,0.08720985317584144,0.45073813273884544
5,human_alignment_multi,viclip_score,0.046000898494536584,0.6911725619595477,0.1378686383800313,0.23180409775888391
6,human_aesthetics_multi,viclip_score,0.0025443033608250902,0.9824790449646892,-0.0051733145667005685,0.9643835542981608
7,human_consistency_multi,viclip_score,-0.021196845231640466,0.8548138837952723,-0.09130968258929863,0.4296529332537569
