,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,human_rating_binary,viclip_score,0.09466674454323822,0.4128140351966938,0.15586632823930796,0.175851302284474
1,human_alignment_binary,viclip_score,0.055472116906665384,0.6318153027603806,0.10498070613342195,0.36353562677226753
2,human_aesthetics_binary,viclip_score,0.07889939542430181,0.49518857723597565,0.11939424039459512,0.3010197450737721
3,human_consistency_binary,viclip_score,0.005106645599754363,0.9648422535253642,0.04798178704785862,0.6785880483907095
4,human_rating_multi,viclip_score,0.01207852130352207,0.9169639853642984,0.0738193273161467,0.5234487284947112
5,human_alignment_multi,viclip_score,0.049666033221251016,0.6679565754209564,0.13611104235643223,0.23786642829415905
6,human_aesthetics_multi,viclip_score,-0.0016872748603366388,0.988380327678359,-0.01356947239467712,0.9067574940502408
7,human_consistency_multi,viclip_score,-0.01508420328622841,0.896403651739484,-0.09985348985899098,0.3875651255222034
